note	1.875	0.00260417	60	1
note	2	0.03125	42	54
note	2	0.03125	36	105
note	2.25	0.03125	42	69
note	2.5	0.03125	42	49
note	2.5	0.03125	40	113
note	2.75	0.03125	42	79
note	3	0.03125	42	46
note	3	0.03125	36	105
note	3.25	0.03125	42	74
note	3.5	0.03125	42	46
note	3.5	0.03125	40	113
note	3.75	0.03125	42	79
note	4	0.03125	42	42
note	4	0.03125	36	105
note	4.25	0.03125	42	69
note	4.5	0.03125	42	54
note	4.5	0.03125	40	112
note	4.75	0.03125	42	74
note	5	0.03125	42	57
note	5	0.03125	36	105
note	5.25	0.03125	42	69
note	5.5	0.03125	42	57
note	5.5	0.03125	40	113
note	5.75	0.03125	42	79
note	6	0.03125	82	62
note	6	0.03125	42	54
note	6	0.03125	36	105
note	-1	7.13021	42	-1
note	6	0.25	30	117
note	6.25	0.03125	82	55
note	6.25	0.03125	42	69
note	6.25	0.135417	37	127
note	6.5	0.03125	82	55
note	6.5	0.03125	42	49
note	6.5	0.03125	40	113
note	-1	7.64323	40	-1
note	6.75	0.03125	82	51
note	6.75	0.03125	42	79
note	-1	7.88281	42	-1
note	6.75	0.25	30	117
note	7	0.03125	82	58
note	7	0.03125	42	46
note	7	0.03125	36	105
note	7	0.145833	40	127
note	7.25	0.03125	82	47
note	7.25	0.03125	42	74
note	7.25	0.132812	37	127
note	7.5	0.03125	82	62
note	7.5	0.03125	42	46
note	7.5	0.03125	40	113
note	7.5	0.158854	35	127
note	7.75	0.03125	82	58
note	7.75	0.03125	42	79
note	7.75	0.140625	37	127
note	8	0.03125	82	56
note	8	0.03125	42	42
note	8	0.03125	36	105
note	-1	9.1224	42	-1
note	8	0.25	30	117
note	8.25	0.03125	82	46
note	8.25	0.03125	42	69
note	8.25	0.125	37	127
note	8.5	0.03125	82	64
note	8.5	0.03125	42	54
note	8.5	0.03125	40	112
note	-1	9.63802	40	-1
note	8.75	0.03125	82	53
note	8.75	0.03125	42	74
note	-1	9.86979	42	-1
note	8.75	0.25	30	117
note	9	0.03125	82	62
note	9	0.03125	42	57
note	9	0.03125	36	105
note	9	0.153646	40	127
note	9.25	0.03125	82	60
note	9.25	0.03125	42	69
note	9.25	0.140625	37	127
note	9.5	0.03125	82	68
note	9.5	0.03125	42	57
note	9.5	0.03125	40	113
note	9.5	0.169271	35	127
note	9.75	0.03125	82	50
note	9.75	0.03125	42	79
note	9.75	0.132812	37	127
note	10	0.03125	82	68
note	10	0.03125	42	54
note	10	0.03125	36	105
note	-1	11.1302	42	-1
note	10	0.25	30	117
note	10.25	0.03125	82	58
note	10.25	0.03125	42	69
note	10.25	0.135417	37	127
note	10.5	0.03125	82	66
note	10.5	0.03125	42	49
note	10.5	0.03125	40	113
note	-1	11.6432	40	-1
note	10.75	0.03125	82	60
note	10.75	0.03125	42	79
note	-1	11.8828	42	-1
note	10.75	0.25	30	117
note	11	0.03125	82	56
note	11	0.03125	42	46
note	11	0.03125	36	105
note	11	0.145833	40	127
note	11.25	0.03125	82	60
note	11.25	0.03125	42	74
note	11.25	0.132812	37	127
note	11.5	0.03125	82	64
note	11.5	0.03125	42	46
note	11.5	0.03125	40	113
note	11.5	0.158854	35	127
note	11.75	0.03125	82	64
note	11.75	0.03125	69	100
note	11.75	0.03125	42	79
note	11.75	0.140625	37	127
note	12	0.03125	82	66
note	12	0.03125	69	113
note	12	0.03125	42	42
note	12	0.03125	36	105
note	-1	13.1224	42	-1
note	12	0.25	30	117
note	12.25	0.03125	82	64
note	12.25	0.03125	69	117
note	12.25	0.03125	42	69
note	12.25	0.125	37	127
note	12.5	0.03125	82	62
note	12.5	0.03125	69	93
note	12.5	0.03125	42	54
note	12.5	0.03125	40	112
note	-1	13.638	40	-1
note	12.75	0.03125	82	64
note	12.75	0.03125	42	74
note	12.7604	0.03125	69	80
note	-1	13.8698	42	-1
note	12.75	0.25	30	117
note	13	0.03125	82	64
note	13	0.03125	42	57
note	13	0.03125	36	105
note	13	0.153646	40	127
note	13.25	0.03125	82	68
note	13.25	0.03125	42	69
note	13.25	0.140625	37	127
note	13.5	0.03125	82	62
note	13.5	0.03125	42	57
note	13.5	0.03125	40	113
note	13.5	0.169271	35	127
note	13.75	0.03125	82	64
note	13.75	0.03125	42	79
note	13.75	0.132812	37	127
note	14	0.03125	82	62
note	14	0.03125	42	54
note	14	0.03125	36	105
note	-1	15.1302	42	-1
note	14	0.25	30	117
note	14.25	0.03125	82	55
note	14.25	0.03125	42	69
note	14.25	0.135417	37	127
note	14.5	0.03125	82	55
note	14.5	0.03125	42	49
note	14.5	0.03125	40	113
note	-1	15.6432	40	-1
note	14.75	0.03125	82	51
note	14.75	0.03125	42	79
note	-1	15.8828	42	-1
note	14.75	0.25	30	117
note	15	0.03125	82	58
note	15	0.03125	42	46
note	15	0.03125	36	105
note	15	0.145833	40	127
note	15.25	0.03125	82	47
note	15.25	0.03125	42	74
note	15.25	0.132812	37	127
note	15.5	0.03125	82	62
note	15.5	0.03125	42	46
note	15.5	0.03125	40	113
note	15.5	0.158854	35	127
note	15.75	0.03125	82	58
note	15.75	0.03125	42	79
note	15.75	0.140625	37	127
note	16	0.03125	82	56
note	16	0.03125	42	42
note	16	0.03125	36	105
note	-1	17.1224	42	-1
note	16	0.25	30	117
note	16.25	0.03125	82	46
note	16.25	0.03125	42	69
note	16.25	0.125	37	127
note	16.5	0.03125	82	64
note	16.5	0.03125	42	54
note	16.5	0.03125	40	112
note	-1	17.638	40	-1
note	16.75	0.03125	82	53
note	16.75	0.03125	42	74
